project_id,cost_date,cost_category,vendor,actual_cost
1001,2023-03-01,Subcontract,Elite Plumbing Group,14999.92
1001,2023-03-01,Equipment,Stadium Rentals Inc,20742.6
1001,2023-03-01,Labor,Campus Builders LLC,52242.07
1001,2023-04-01,Equipment,Metro Equipment Rentals,17178.63
1001,2023-04-01,Materials,Urban Steel Co,41969.86
1001,2023-04-01,Labor,Campus Builders LLC,41615.57
1001,2023-04-01,Subcontract,Elevate Interiors,23893.49
1001,2023-05-01,Equipment,CoolAir Rentals,14186.2
1001,2023-05-01,Other,Metro Consulting,8124.97
1001,2023-05-01,Labor,Campus Builders LLC,62377.86
1001,2023-05-01,Materials,Urban Steel Co,46843.59
1001,2023-06-01,Equipment,Metro Equipment Rentals,24005.11
1001,2023-06-01,Other,LogiConsult Partners,10011.23
1001,2023-06-01,Subcontract,HighSky Electrical,51239.81
1001,2023-06-01,Labor,Prime Builders Inc,32024.9
1001,2023-06-01,Materials,SteelWorks Supply,47661.38
1001,2023-07-01,Subcontract,BrightLights Systems,30286.99
1001,2023-07-01,Equipment,GreenField Rentals,16514.06
1001,2023-07-01,Materials,Residence Supply Co,59872.98
1001,2023-08-01,Equipment,Stadium Rentals Inc,25908.41
1001,2023-08-01,Materials,OfficePlus Supply,64020.64
1001,2023-08-01,Other,Metro Consulting,9373.88
1001,2023-08-01,Subcontract,Premier Facades LLC,32714.56
1001,2023-09-01,Materials,SolarGrid Components,49693.4
1001,2023-09-01,Other,LogiConsult Partners,5262.8
1001,2023-09-01,Labor,PrimeFit Contractors,46415.7
1001,2023-09-01,Subcontract,SignalTech Systems,23259.66
1001,2023-09-01,Equipment,Metro Equipment Rentals,17747.29
1001,2023-10-01,Labor,Sunrise Construction,39815.3
1001,2023-10-01,Equipment,Metro Equipment Rentals,17814.0
1001,2023-10-01,Materials,SteelWorks Supply,52279.85
1001,2023-11-01,Equipment,Stadium Rentals Inc,24880.05
1001,2023-11-01,Materials,ServerRack Supply Co,54086.6
1001,2023-11-01,Other,EnviroConsult Group,5508.46
1001,2023-11-01,Subcontract,HighSky Electrical,35714.46
1001,2023-11-01,Labor,Lakeview Construction,56880.48
1001,2023-12-01,Other,IT Commissioning Ltd,4307.35
1001,2023-12-01,Equipment,CoolAir Rentals,22217.58
1001,2023-12-01,Subcontract,Elite Interiors Group,34316.94
1002,2023-01-01,Materials,Urban Steel Co,63864.16
1002,2023-01-01,Other,City Services Co,15678.24
1002,2023-01-01,Equipment,Metro Equipment Rentals,23425.62
1002,2023-01-01,Subcontract,Elite Plumbing Group,32635.03
1002,2023-02-01,Materials,Scholars Supply Co,74275.97
1002,2023-02-01,Subcontract,Premier Facades LLC,65434.98
1002,2023-02-01,Equipment,HeavyHaul Rentals,27059.94
1002,2023-02-01,Labor,ClearFlow Construction,70058.75
1002,2023-02-01,Other,Transit Advisory Group,11768.02
1002,2023-03-01,Labor,Prime Builders Inc,65081.79
1002,2023-03-01,Other,Transit Advisory Group,15816.27
1002,2023-03-01,Equipment,HeavyHaul Rentals,32509.09
1002,2023-03-01,Materials,Residence Supply Co,79581.04
1002,2023-03-01,Subcontract,SecureNet Cabling,41133.11
1002,2023-04-01,Equipment,Metro Equipment Rentals,31331.59
1002,2023-04-01,Materials,OfficePlus Supply,100234.16
1002,2023-04-01,Other,Transit Advisory Group,18706.31
1002,2023-05-01,Other,City Services Co,19361.74
1002,2023-05-01,Materials,Cityscape Supply Co,91238.3
1002,2023-05-01,Labor,TransitBuild JV,79954.25
1002,2023-05-01,Subcontract,SecureNet Cabling,55671.99
1002,2023-05-01,Equipment,Metro Equipment Rentals,44232.8
1002,2023-06-01,Equipment,Metro Equipment Rentals,24552.41
1002,2023-06-01,Other,LogiConsult Partners,26369.81
1002,2023-06-01,Labor,UrbanCore Builders,68557.75
1002,2023-07-01,Labor,ClearFlow Construction,91902.55
1002,2023-07-01,Subcontract,Elite Plumbing Group,39620.82
1002,2023-07-01,Other,EnviroConsult Group,18912.89
1002,2023-08-01,Subcontract,PipeMasters LLC,28570.97
1002,2023-08-01,Materials,SportsField Supply Co,76449.58
1002,2023-08-01,Other,LogiConsult Partners,19021.25
1002,2023-08-01,Equipment,Stadium Rentals Inc,33338.12
1002,2023-08-01,Labor,Sunrise Construction,68399.68
1002,2023-09-01,Equipment,Metro Equipment Rentals,37193.39
1002,2023-09-01,Subcontract,Precision Paving LLC,49791.1
1002,2023-09-01,Other,LogiConsult Partners,21571.08
1002,2023-09-01,Materials,Urban Steel Co,84074.05
1002,2023-10-01,Labor,ABC Construction,95824.41
1002,2023-10-01,Materials,Urban Steel Co,97071.65
1002,2023-10-01,Equipment,Stadium Rentals Inc,36815.92
1002,2023-10-01,Other,City Services Co,18217.74
1002,2023-11-01,Labor,Prime Builders Inc,62652.74
